Term,Original Definition,Published Definition,Publish to DevHub,Keywords,Context,Team Source - Temp,Citations,Verified Definition,Comments,StaticId,Name
Eligibility Factor Verifier,A service that validates one or more eligibility factors.,A service that validates one or more eligibility factors.,Yes,,General,EFV,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1313439890/Terminology+and+Glossary,Yes,,5eecd458-7c65-406f-ae09-e1e7966473f5,eligibility-factor-verifier
Eligibility Token,A signed assertion indicating that an individual meets specified eligibility criteria without disclosing raw data.,,No,,General,EFV,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1313439890/Terminology+and+Glossary,No,,2c5099bc-c147-4d24-ba23-1baae4aea966,eligibility-token
Policy Decision Point (PDP),Component that evaluates policies and returns an authorization decision.,Component that evaluates policies and returns an authorization decision.,Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,061815a3-ad4e-4a8c-a7f2-ed4deb1d9b55,policy-decision-point-pdp
Policy Enforcement Point (PEP),Component that enforces the decision from the Policy Decision Point (PDP).,Component that enforces the decision from the Policy Decision Point (PDP).,Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,a337c373-6de1-424d-84ec-aa9cfea229a5,policy-enforcement-point-pep
Data Minimization Rule,Restricts shared data to the minimum required for the purpose.,Restricts shared data to the minimum required for the purpose.,Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,1e71f1d0-79f4-4d1d-b1da-6cd97c1d6b12,data-minimization-rule
Audit Event,"A signed, immutable log entry recording access or transfer events.","A signed, immutable log entry recording access or transfer events.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,daee9848-5a5a-4c25-a7ec-64c424cf1047,audit-event
Credential Broker,"A service that issues, validates, or transforms digital credentials.","A service that issues, validates, or transforms digital credentials.",Yes,"Security,SDX",General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,d853b242-1eeb-4470-ae2a-31950f0712b6,credential-broker
Policy Plugin,"Executable logic within an intermediary that enforces a policy, such as validation or masking.","Executable logic within an intermediary that enforces a policy, such as validation or masking.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,384555a0-9ef0-49d6-9433-d450a043cefb,policy-plugin
Channel,"The transport mode used for an exchange: Pull API, Push Webhook, Message Queue, Batch File, or Streaming.","The transport mode used for an exchange: Pull API, Push Webhook, Message Queue, Batch File, or Streaming.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,24717e39-b997-44ff-8a2b-aacbaa425569,channel
API Catalogue,"A listing of application programming interfaces and exchange contracts with metadata, intended for use by a software developer.","A listing of application programming interfaces and exchange contracts with metadata, intended for use by a software developer.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,a03ab4ed-6a49-44c9-8b29-4116c791755e,api-catalogue
Onboarding to SDX,"The process of bringing a provider or consumer onto SDX, including credential verification and testing.","The process of bringing a provider or consumer onto SDX, including credential verification and testing.",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,358e0ef0-9100-4a88-8fbc-4301adfd3bf3,onboarding-to-sdx
CKAN,"Comprehensive Knowledge Archive Network (CKAN) is an open-source, metadata-driven data catalog platform for publishing, managing and discovering datasets.","Comprehensive Knowledge Archive Network (CKAN) is an open-source, metadata-driven data catalog platform for publishing, managing and discovering datasets.",Yes,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,40ccb1ea-9d17-45e0-a177-e6f760f11a08,ckan
Crown Copyright Data,Crown Copyright data refers to datasets under copyright protection. Refer to https://www2.gov.bc.ca/gov/content/home/copyright for more information. Dataset under Crown Copyright may include access to Authoritative datasets.,,No,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,cdaf285c-713f-4402-b028-58e33537c4a9,crown-copyright-data
Data Provider,"Data Providers are members of Government Ministries, Crown Corporations and Broader Public Sector agencies who list data in the BCDC. Data Providers may hold one or more roles in the catalogue, e.g. Catalogue Editor.",,No,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,"RJS 02/23: Again same as Data Consumer, should the context be added to the definition.",103ac7b2-3426-40ac-bd26-6e90d6eff7da,data-provider
Data Resource,"Data Resource (or Resource) for a Data Catalogue is a file containing actual data, uploaded to the Catalogue (e.g. CSV, xls, XML etc.); or relevant information in the Catalogue, describing how to obtain the actual data (e.g. API specification). A data resource is always relevant to a particular Dataset.","Data Resource (or Resource) for a Data Catalogue is a file containing actual data, uploaded to the Catalogue (e.g. CSV, xls, XML etc.); or relevant information in the Catalogue, describing how to obtain the actual data (e.g. API specification). A data resource is always relevant to a particular Dataset.",Yes,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,c583cc43-5bf9-4feb-b9f0-a5658d414df8,data-resource
Dataset,A Dataset refers to a description (of what the Dataset is about) + collection of metadata elements / attributes / objects + optionally Data Resource(s); where a metadata element / attribute / object is any one piece of relevant metadata for the Dataset.,,No,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,03ce77f3-8e3e-4c6a-a8e0-275f530a3188,dataset
Enterprise Data,"Enterprise data is collected, managed, and used across all departments of an organization for planning, operations, and decision-making. It is governed by processes (Enterprise Data Management) to ensure it is accurate, secure, and accessible for business value.   

Enterprise data is listed in the B.C. Data Catalogue, and the listing is limited / restricted to users within the B.C. Government and broader public sector accessed via an authentication method. 

All Enterprise Data listed in the B.C. Data Catalogue is High Value Data, some of which may also be Authoritative Data.

Enterprise data and Open data are mutually exclusive.  However, Enterprise data may be re-classified as Open data at any point in time and as such, will be made available to the public.",,No,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,a670e700-b7ae-49e0-a5cf-7ccde961f5ea,enterprise-data
High Value Data,"High Value Data holds significant business value, enabling decision-making in support of programs, services, evaluation, and accountability requirements that benefit a high number of users. This includes data that supports critical services or data of public interest or permanent value (e.g., critical information and authoritative data).

The B.C. Data Catalogue only holds High Value Datasets.","High Value Data holds significant business value, enabling decision-making in support of programs, services, evaluation, and accountability requirements that benefit a high number of users. This includes data that supports critical services or data of public interest or permanent value (e.g., critical information and authoritative data).

The B.C. Data Catalogue only holds High Value Datasets.",Yes,,General,Catalogue,https://www2.gov.bc.ca/gov/content?id=706EBC0C26B146EBB8641813DB32946B,Yes,,8e71744a-ebd1-46ad-82fd-3bcc5c32fdb2,high-value-data
IDIR,DIR is the proper name of a login credential. It isn't an acronym. IDIR accounts are given to individuals who work for the B.C. government. Each account has an IDIR username and password for logging in.,DIR is the proper name of a login credential. It isn't an acronym. IDIR accounts are given to individuals who work for the B.C. government. Each account has an IDIR username and password for logging in.,Yes,,General,Catalogue,https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/identity-services-program/login-best-practices/language-consistency,Yes,,bc792bd1-667d-49a8-ab00-835c53c24bf7,idir
Metadata Record,"A Metadata Record is the combination of Description of the Dataset + collection of Metadata attributes / objects / elements; where a Metadata attribute / object / element is any one piece of relevant metadata for the Dataset. 

Core set of metadata attributes / objects / elements are defined in the Metadata Standard.","A Metadata Record is the combination of Description of the Dataset + collection of Metadata attributes / objects / elements; where a Metadata attribute / object / element is any one piece of relevant metadata for the Dataset. 

Core set of metadata attributes / objects / elements are defined in the Metadata Standard.",Yes,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,a7ee752f-0722-4672-b0f4-652e442e8ee4,metadata-record
Metadata Template,"Metadata Template refers to an electronic capture format for the metadata schema.

The Metadata Schema defines the structure of the metadata; including, amongst others, core mandatory elements / objects / attributes (as defined in the metadata standard) and additional optional elements / objects / attributes.","Metadata Template refers to an electronic capture format for the metadata schema.

The Metadata Schema defines the structure of the metadata; including, amongst others, core mandatory elements / objects / attributes (as defined in the metadata standard) and additional optional elements / objects / attributes.",Yes,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,91b0f44f-964d-48ff-be38-bb38c377d77d,metadata-template
Open Data,"Data that has undergone an Open Data Assessment, meets the requirements included in the Open Data Policy, and is listed in the B.C. Data Catalogue. Such Open Data is then made available to the public for copying, publishing, distribution, transmission and adaptation under the terms of the OGL-BC.",Data that has undergone an Open Data Assessment and is licensed under the Open Government Licence - British Columbia.,Yes,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,This definition is insufficient and will need to be revisited with the work on the Open Data Policy.,dd65b33f-ab63-4f32-9f04-e36af723a576,open-data
Source of Truth,"A centralized, authoritative location where an organization stores its most accurate, reliable and trusted data, ensuring consistent use of information for decisions, eliminating silos and discrepancies. 

A Source of Truth may be the same as the System of Record, however this may not always be the case. For example, valid authoritative copies of data from the System of Record are created and made available for specific purposes; in cases where the System of Record cannot be directly accessed for legal, technical, privacy or other reasons.","A centralized, authoritative location where an organization stores its most accurate, reliable and trusted data, ensuring consistent use of information for decisions, eliminating silos and discrepancies. 

A Source of Truth may be the same as the System of Record, however this may not always be the case. For example, valid authoritative copies of data from the System of Record are created and made available for specific purposes; in cases where the System of Record cannot be directly accessed for legal, technical, privacy or other reasons.",Yes,,General,Catalogue,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_DDS/Projects%20and%20Initiatives/2025-09%20Connected%20Services%20and%20Enhanced%20Catalogue/Business%20Analysis%20and%20Requirements/CITZ%20BCDC%20-%20Business%20Requirements%20Document%20-%20Draft%20v0.08%20(current).docx?d=wb7271ba34bec42a180b57e8d5bfe623b&csf=1&web=1&e=J9y3Z3,Yes,,ca228f09-b27d-4a7e-8101-733af5508779,source-of-truth
Certificate Authority (CA),"A Certificate Authority (CA) is a trusted organization that provides/issues digital certificates to websites, businesses, and individuals. This establishes trust between users and websites by ensuring that sensitive data remains private.  ","A Certificate Authority (CA) is a trusted organization that provides/issues digital certificates to websites, businesses, and individuals. This establishes trust between users and websites by ensuring that sensitive data remains private.  ",Yes,"Security,SDX",General,APS,"https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1338442522/ADR-013+Private+Certificate+Authority
https://www.digicert.com/blog/what-is-a-certificate-authority",Yes,,f22f5bd4-08c5-4c82-86d3-a267014d5158,certificate-authority-ca
Connected Services Glossary of Terms,"The centralized repository documenting concepts in plain language for Connected Services business and technical terms. ","The centralized repository documenting concepts in plain language for Connected Services business and technical terms. ",Yes,,General,ADR,https://Data Register Standard,Yes,RJS 02/23: Should this be changed to Connected terms instead of Govt. datasets?,d78fc349-9944-4eb1-a478-a5dca8eb0135,connected-services-glossary-of-terms
Data Accessibility,"The ability for authorized users to easily find, retrieve, and use data when they need it, supported by appropriate permissions, usable formats, documentation, and interoperability that allows data to work across systems and contexts.","The ability for authorized users to easily find, retrieve, and use data when they need it, supported by appropriate permissions, usable formats, documentation, and interoperability that allows data to work across systems and contexts.",Yes,,General,ADR,https://Data Register Standard,Yes,,94c48891-3cd9-4fd3-879d-f4de839281eb,data-accessibility
Data Element,"The smallest identifiable unit of data with a defined meaning, typically represented as an attribute or field within a data model or dataset.","The smallest identifiable unit of data with a defined meaning, typically represented as an attribute or field within a data model or dataset.",Yes,,General,ADR,https://Data Register Standard,Yes,,61d8f98e-0495-446e-a724-c6222b366a98,data-element
Immutable,"An element (such as an identifier, data structure, or stored record) is considered immutable when its value or state is fixed at creation and does not change thereafter. Immutability provides a consistent point of reference and supports reliable auditing, versioning, and data integrity, even as related or derived information may evolve.","An element (such as an identifier, data structure, or stored record) is considered immutable when its value or state is fixed at creation and does not change thereafter. Immutability provides a consistent point of reference and supports reliable auditing, versioning, and data integrity, even as related or derived information may evolve.",Yes,,General,ADR,https://Data Register Standard,Yes,,ea050745-5a9f-4c7b-b4ef-2b750bed999b,immutable
Semantics,"Semantics refers to the standardized meaning of data - how terms, values, and relationships are defined so they can be interpreted consistently across different systems.","Semantics refers to the standardized meaning of data - how terms, values, and relationships are defined so they can be interpreted consistently across different systems.",No,,General,ADR,https://Data Register Standards,No,,45b1117f-9e8f-4273-a27b-b7d14862a565,semantics
Universally Unique Identifiers,"Universally Unique Identifiers (UUID), also called Globally Unique Identifiers (GUID), are generated numbers that are, for all practical purposes, guaranteed to be unique across different systems and over time, without requiring central coordination. ",,No,,General,ADR,https://Data Register Standard,Yes,RJS 02/24: This definition needs to be merged with Globally Unique Identifier (GUID) / Universally Unique Identifier (UUID),1f48525d-44a8-4339-b63f-23636689a0c9,universally-unique-identifiers
Entity,"A uniquely identifiable real-world object, event, or concept about which data is stored. Entities are described by attributes and may have relationships with other entities.","A uniquely identifiable real-world object, event, or concept about which data is stored. Entities are described by attributes and may have relationships with other entities.",Yes,,General,ADR,https://Data Register Guidelines,Yes,,301c7078-5504-4fa2-a1ff-de4dc24fb571,entity
Master Data,"Core, non-transactional data that describes key business entities (e.g., persons in BC, services, assets, locations). Master Data should represent Authoritative Data so it can be trusted and used with confidence by the entire organization.","Core, non-transactional data that describes key business entities (e.g., persons in BC, services, assets, locations). Master Data should represent Authoritative Data so it can be trusted and used with confidence by the entire organization.",Yes,,General,ADR,https://Data Register Guidelines,Yes,,f20d563f-8a82-417a-bc30-8d4dd2ca0131,master-data
Reference Data,"Data that is used to describe or classify other data (e.g., lists of disease types, gender codes, building materials, etc.) ","Data that is used to describe or classify other data (e.g., lists of disease types, gender codes, building materials, etc.) ",Yes,,General,ADR,https://Data Register Guidelines,Yes,,72a0f54d-6d36-447a-aede-8ad055dec205,reference-data
System of Reference,A system that consolidates and harmonizes data from multiple systems of record to provide a trusted reference for sharing data.,A system that consolidates and harmonizes data from multiple systems of record to provide a trusted reference for sharing data.,Yes,,General,ADR,https://Data Register Guidelines,Yes,,1fd602bc-eeb2-45e3-b25a-871859edb11c,system-of-reference
Accuracy,Accuracy measures the degree to which data describes the real-world phenomena it is intended to represent.,Accuracy measures the degree to which data describes the real-world phenomena it is intended to represent.,Yes,,General,ADR,https://Data Quality Assessment Standard,Yes,,3579f8c6-c509-46c1-85fd-8cd7cc9ba94e,accuracy
Completeness,"The proportion of stored data against the definition of “100% complete”. Completeness is contextual to the purpose for data collection (for example, is the scope of collection the whole province or a region?)","The proportion of stored data against the definition of “100% complete”. Completeness is contextual to the purpose for data collection (for example, is the scope of collection the whole province or a region?)",Yes,,General,ADR,https://Data Quality Assessment Standard,Yes,,cd363ff3-d8e6-4013-beaf-892fe3ab8583,completeness
Data Quality Assessment Framework,"Data Quality Assessment Framework defines standardized dimensions of data quality and associated measures for assessing the level of data quality. A measure may apply at the dataset, record, and/or attribute level.","Data Quality Assessment Framework defines standardized dimensions of data quality and associated measures for assessing the level of data quality. A measure may apply at the dataset, record, and/or attribute level.",Yes,,General,ADR,https://Data Quality Assessment Standard,Yes,,e868d9f6-371e-4601-b2cb-baa0dcc539df,data-quality-assessment-framework
Data Quality Scorecard,"A Data Quality Scorecard is an instance or snapshot of a dataset’s data quality measures, as defined by the Data Quality Assessment Framework.","A Data Quality Scorecard is an instance or snapshot of a dataset’s data quality measures, as defined by the Data Quality Assessment Framework.",Yes,,General,ADR,https://Data Quality Assessment Standard,Yes,,0d2898a9-b4bc-478f-9a0e-d9586aae479c,data-quality-scorecard
Timeliness,The degree to which data represent reality from the required point in time. Includes currency (are the data up to date?) and latency (when was the data last updated?),The degree to which data represent reality from the required point in time. Includes currency (are the data up to date?) and latency (when was the data last updated?),Yes,,General,ADR,https://Data Quality Assessment Standard,Yes,,dbf42901-c009-4dd1-a3a5-1b35b96a8e6a,timeliness
Uniqueness,The degree to which there are no duplicate data.,The degree to which there are no duplicate data.,Yes,,General,ADR,https://Data Quality Assessment Standard,Yes,,3e557afe-bfb5-4891-8a15-026836aaeae7,uniqueness
Validity,"The degree to which data conforms to its defined domain of values, including the rules for allowed formats, structures, acceptable ranges, and lists of permissible values.","The degree to which data conforms to its defined domain of values, including the rules for allowed formats, structures, acceptable ranges, and lists of permissible values.",Yes,,General,ADR,https://Data Quality Assessment Standard,Yes,,18f73da4-bf76-46fc-b562-472abe3c30c3,validity
Consent,"Consent is a voluntary agreement by an individual for their personal information to be accessed, verified or used by a government service for specified purposes such as determining or verifying eligibility for other benefits or services. ","Consent is a voluntary agreement by an individual for their personal information to be accessed, verified or used by a government service for specified purposes such as determining or verifying eligibility for other benefits or services. ",Yes,,General,SDG,https://bcgov.sharepoint.com/:w:/r/teams/12320-ConnectedServicesStrategicPriority/_layouts/15/Doc.aspx?sourcedoc=%7B51098F63-B69C-4575-B25C-9FA88C4CFDFA%7D&file=Consent%20and%20Delegation%20Framework%20for%20Connected%20Services.docx&action=default&mobileredirect=true,Yes,,8eb02fb4-6665-451a-8651-40daa3d9a5e0,consent
Delegation,"Delegation is a secure, formalized process that permits an individual to authorize another individual to access, manage or act on their behalf within digital government services.  
Delegation enables individuals —especially the elderly, persons with disabilities, or those with limited digital literacy—to benefit from digital services without being excluded. ","Delegation is a secure, formalized process that permits an individual to authorize another individual to access, manage or act on their behalf within digital government services.  
Delegation enables individuals —especially the elderly, persons with disabilities, or those with limited digital literacy—to benefit from digital services without being excluded. ",Yes,,General,SDG,https://bcgov.sharepoint.com/:w:/r/teams/12320-ConnectedServicesStrategicPriority/_layouts/15/Doc.aspx?sourcedoc=%7B51098F63-B69C-4575-B25C-9FA88C4CFDFA%7D&file=Consent%20and%20Delegation%20Framework%20for%20Connected%20Services.docx&action=default&mobileredirect=true,Yes,,54c64fbd-9f57-4882-a685-6d1b85c1be35,delegation
Secure Data Exchange (SDX),"SDX as a capability/piece of functionality is the ability to move data securely and lawfully between parties. Includes technical patterns, governance, tooling and audit controls. ","SDX as a capability/piece of functionality is the ability to move data securely and lawfully between parties. Includes technical patterns, governance, tooling and audit controls. ",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Glossary+-+2026,Yes,,ebf3f5df-5589-40c9-8a1a-b4cc45b3f375,secure-data-exchange-sdx
Data Interoperability,"The ability for multiple systems to reliably exchange and understand data using standardized machine-readable formats, shared semantic definitions, and common technical protocols in alignment with applicable policies and standards.",,No,,General,ADR,https://data%20register%20standard/,No,,6133ed47-2a91-4e53-849d-b775fcf82aaa,data-interoperability
Government Service,A government service is a way for people to give or get something they need. An example is registering a child’s birth or incorporating a business.,,No,,General,ADR,https://www2.gov.bc.ca/gov/content/governments/services-for-government/service-experience-digital-delivery/web-content-development-guides/web-style-guide/writing-guide/web-services,No,,62e34ddc-4ea5-41a6-a0c9-6e78f6a0bae3,government-service
Spouse,"Unmarried couples are considered spouses if they meet either of the following criteria:
1) demonstrate qualities consistent with a marriage-like relationship while residing together for 12 consecutive months, or
2) if they declare that they are in a marriage-like relationship.
Married couples who can demonstrate they have separated are exempted from being considered spouses. 
Separated means that they have legally separated, in divorce 
proceedings, severed financial interdependence or social and familial interdependence, etc.
","Unmarried couples are considered spouses if they meet either of the following criteria:
1) demonstrate qualities consistent with a marriage-like relationship while residing together for 12 consecutive months, or
2) if they declare that they are in a marriage-like relationship.
Married couples who can demonstrate they have separated are exempted from being considered spouses. 
Separated means that they have legally separated, in divorce 
proceedings, severed financial interdependence or social and familial interdependence, etc.
",Yes,,Income and Disability Assistance,ADR,https://www.myselfserve.gov.bc.ca/,Yes,,21240249-56a6-46f8-92d4-83ea0b12d586,spouse
Surname,"Primary Documented Surname from the BCSC.
The individual's documented surname recorded from valid identification.",The individual's documented surname recorded from valid identification.,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,4748554c-0a48-45b8-b917-c594ae3838b7,surname
Given Name,"Primary Documented Given Name from the BCSC.
The individual's documented given name recorded from valid identification.
Note: This returns first name only and may not include all portions of the first name.",The individual's documented given name recorded from valid identification.,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,99144c23-144f-4d18-88f6-b311e533e54e,given-name
Birth Date,"Birth Date from the BCSC.
The individual's documented birth date recorded from valid identification.",,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,waiting definition from Marcos Carrere,a952de7f-f34b-4941-b896-930e330cecbf,birth-date
Sex,"Sex from the BCSC.	
The individual's documented sex recorded from valid identification.",,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,fbdeede9-127d-4c85-8ddc-7d7a8dd3b651,sex
Street Address,"Residential address from the BCSC.
The street address lines of an individual's provided residential address.",,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,63091aa9-de44-464a-b9a4-677239a25d9a,street-address
Locality,"The city, municipality or district of an individual's provided residential address.",,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,bc0f8e35-c35a-42b1-9b9e-2e3ffbfbcc87,locality
Province,The two-letter province code of an individual's provided residential address.,,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,748e1e27-316a-458a-a21c-0604c9c5886d,province
Postal Code,The postal code of the individual's provided residential address.,,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,41976083-4652-44ea-a2a9-51385ef9e651,postal-code
Country,The two-letter country code of an individual's provided residential address.,,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,c38136a0-38dd-478b-bedc-0e52d28fb072,country
Verified Email,The email address provided by an individual that has been verified with email delivery once (Personal or Business).,,No,,BC Services Card,ADR,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9,No,,0aeb1e75-c084-4c76-afe1-5e2ed769a5ad,verified-email
