Term,Original Definition,Published Definition,Publish to DevHub,Keywords,Context,Team Source - Temp,Citations,Verified Definition,Comments,StaticId,Name
API Key,A unique identifier used to authenticate a client application accessing an API. The API Key is included in each API request and used to identify the application and authorize the request.,A unique identifier used to authenticate a client application accessing an API. The API Key is included in each API request and used to identify the application and authorize the request.,Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,f355d493-a09b-4d77-80e8-142fd3312291,api-key
Authentication,"Authentication is a security process for verifying the identity of a user or device before allowing access to a system, resource, or function. Authentication validates that a user or system is who they claim to be.","Authentication is a security process for verifying the identity of a user or device before allowing access to a system, resource, or function. Authentication validates that a user or system is who they claim to be.",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,50fdc0b5-b936-409c-b536-d29ed4ab372b,authentication
Authorization,"Authorization is a security process for providing a user or device with access to a requested system, resource, or function based on permissions. Authorization is provided only after a user or device has been authenticated.","Authorization is a security process for providing a user or device with access to a requested system, resource, or function based on permissions. Authorization is provided only after a user or device has been authenticated.",Yes,Security,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,fb1799f6-ad3b-49ee-8746-bdaa4f72db2c,authorization
Client,"In the context of an API, a client refers to a software application or system that accesses the functionality provided by the API. Clients send requests to and receive responses from the API.","In the context of an API, a client refers to a software application or system that accesses the functionality provided by the API. Clients send requests to and receive responses from the API.",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,8b5020e3-a5b0-4764-b80d-a5d66b6f0bb4,client
Client Secret,"A confidential code shared between a client application and the authorization server to generate an access token. Used in an OAuth Client Credentials flow, which enhances security by validating client identity.","A confidential code shared between a client application and the authorization server to generate an access token. Used in an OAuth Client Credentials flow, which enhances security by validating client identity.",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,adc8a918-9fc8-45d7-b31d-30ad7eda18f0,client-secret
Gateway,"A Gateway is the top-level entity in the API Services Portal. It is a collection of Kong Gateway Services and Routes, generally managed by a single team or business unit.","A Gateway is the top-level entity in the API Services Portal. It is a collection of Kong Gateway Services and Routes, generally managed by a single team or business unit.",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,d8c3ca90-ba2f-40fb-9163-e1760d6b356d,gateway
Gateway Service,"A Gateway Service represents an external upstream API or microservice consisting of a URL, which listens for incoming requests.","A Gateway Service represents an external upstream API or microservice consisting of a URL, which listens for incoming requests.",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,2075f0d6-0dcc-43f1-a9bf-24acd1490eff,gateway-service
Kong Gateway,"Kong Gateway is an open-source, cloud-native API gateway. It is the centralized entry point for managing and securing APIs, and controlling access, traffic, and data transformation. When API Providers configure API Gateways for their services, these Gateways are enforced through Kong.","Kong Gateway is an open-source, cloud-native API gateway. It is the centralized entry point for managing and securing APIs, and controlling access, traffic, and data transformation. When API Providers configure API Gateways for their services, these Gateways are enforced through Kong.",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,168b276a-6eed-4d01-9c36-77adc1c55258,kong-gateway
Namespace,"Renamed ""Gateway"" in version 3. A Gateway is the top-level entitiy in the API Services Portal. It is a collection of Kong Gateway Services and Routes, generally managed by a single team or business unit.",,No,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,No,,45a5e0e5-42b2-40ef-a965-59c1da4089af,namespace
Rate Limit,"A way to restrict how many times a user, bot, or application can access an API in a given timeframe. Rate limiting is important for preventing malicious attacks.","A way to restrict how many times a user, bot, or application can access an API in a given timeframe. Rate limiting is important for preventing malicious attacks.",Yes,,General,APS,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,,6aaec3be-e4db-4105-b63f-ad4fc5d66aec,rate-limit
