public_body_type_id	public_body_type	public_body_type_short_name	public_body_type_description	effective_date	last_effective_date	last_update_datetime	last_update_user
019be1ef-d916-726f-ae70-e1e6e37055b2	BC Government Ministry	Ministry	The BC Public Service is divided into ministries. Each ministry is responsible for a specific area of public policy, government function or service delivery.				bsparks
019be1f1-4a18-7a6b-92f3-37ea73d2dd5e	BC Central Government Agency	Central Agency	Independent or partially independent agencies, boards and commissions that are essential to the effective governance of the province.				bsparks
019be1f2-af90-7b1e-a17a-4ef9fabbd4f0	BC Crown Corporation	Crown Corporation	Crown corporations are public sector organizations established and funded by the B.C. government to provide specialized goods and services to citizens.				bsparks
019be200-9a20-78bb-8e0d-d122a10a8e42	BC Tribunal	Tribunal	Tribunals perform adjudicative or regulatory functions in the public justice system. They are established by statute and are essential to the governance of the province. They administer rules for everyday things like employment, housing, health and industry. A tribunal may be referred to as a “board” or “commission.”				bsparks
019be211-596a-7b70-9301-da517ea67f9b	Professional Regulatory Authority	Professional Regulatory Authority	Professional regulatory authorities are government agencies or public organizations that have authority delegated by law from government. They provide oversight and certification to specified regulated occupations in B.C. Also includes professional credential regulation				bsparks
