pb_unique_id,public_body_id,business_id_source,business_id_value,name,acronym,sector,type_id,public_body_effective_datetime,public_body_retired_datetime,record_created_datetime,record_ended_datetime,record_created_user,record_ended_user
019cb570-3590-7586-b5c3-09380faaa830,019cb573-8d43-7154-9efa-63aaae4c4c63,,,Forests,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1976,1/1/1986,1/1/1976,1/1/1986,mdwilkie,mdwilkie
019cb570-3590-793b-b6e1-dada97efd830,019cb573-8d43-7d87-8db5-14251b5a4696,,,"Lands, Parks, and Housing",,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1978,1/1/1986,1/1/1978,1/1/1986,mdwilkie,mdwilkie
019cb570-3590-72c5-998b-feae6b91f44a,019cb573-8d43-7195-8c6d-4ed9e87bf318,,,Environment,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1979,1/1/1986,1/1/1979,1/1/1986,mdwilkie,mdwilkie
019cb570-3590-7bc7-98e2-159c248cdf15,019cb573-8d43-7154-9efa-63aaae4c4c63,,,Forests and Lands,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1986,1/1/1988,1/1/1986,1/1/1988,mdwilkie,mdwilkie
019cb570-3590-74ee-ba03-6089a2475ad7,019cb573-8d43-7f54-beee-20592ef565e4,,,Environment and Parks,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1986,1/1/1988,1/1/1986,1/1/1988,mdwilkie,mdwilkie
019cb570-3590-7d3e-81b6-c85861cb72c7,019cb573-8d43-7c5a-b6e8-1267809ba13f,,,Forests,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1988,1/1/2005,1/1/1988,1/1/2005,mdwilkie,mdwilkie
019cb570-3590-798b-9da7-1d4fb5acaca1,019cb573-8d43-788a-bbdf-2d7b4a8f90e3,,,Crown Lands,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1988,1/1/1991,1/1/1988,1/1/1991,mdwilkie,mdwilkie
019cb570-3590-7e04-93fd-89cb5d732053,019cb573-8d43-7f54-beee-20592ef565e4,,,Environment ,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1988,7/1/1991,1/1/1988,7/1/1991,mdwilkie,mdwilkie
019cb570-3590-7980-bdd6-6caa2644cfc7,019cb573-8d43-78dd-9b57-73293e68ce22,,,Parks,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1988,1/1/1991,1/1/1988,1/1/1991,mdwilkie,mdwilkie
019cb570-3590-74f9-b40f-5b20a2bccff4,019cb573-8d43-7c82-bf9c-a4d03c8bd65d,,,Lands and Parks,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/1991,7/1/1991,1/1/1991,7/1/1991,mdwilkie,mdwilkie
019cb570-3590-7a3c-b4b1-33f4f9cf1353,019cb573-8d43-78a4-957a-ee65f4b93970,,,"Environment, Lands, and Parks",,,019be1ef-d916-726f-ae70-e1e6e37055b2,7/1/1991,1/1/2001,7/1/1991,1/1/2001,mdwilkie,mdwilkie
019cb570-3590-7e63-bc36-de00d9ca17d6,019cb573-8d43-7de8-be67-4426b962eefb,,,"Agriculture, Food, and Fisheries",,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/2000,1/1/2005,1/1/2000,1/1/2005,mdwilkie,mdwilkie
019cb570-3590-7876-bad8-2cb2bca3347a,019cb573-8d43-78a4-957a-ee65f4b93970,,,Sustainable Resource Management,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/2001,1/1/2005,1/1/2001,1/1/2005,mdwilkie,mdwilkie
019cb570-3590-7876-bad8-2cb2bca3347a,019cb573-8d43-78a4-957a-ee65f4b93970,,,Water Land and Air Protection,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/2001,1/1/2005,1/1/2001,1/1/2005,mdwilkie,mdwilkie
019cba43-f15a-76f6-b84f-4105e8adf516,019cba44-3dc9-75f2-8552-5a7de0688ab1,,,Children and Family Development,,,019be1ef-d916-726f-ae70-e1e6e37055b2,1/1/2001,,1/1/2001,,mdwilkie,
