public_body_id	name	type_id	effective_date	last_effective_date	last_update_datetime	last_update_user
019b2cf6-2e87-7e61-b3b5-bf786d1b6949	Agriculture and Food	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7ac3-89cb-65c282b6e360	Attorney General	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7824-8c1a-96ef7e2e592f	Children and Family Development	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-797a-8c0d-1a3860afd0b0	Citizens' Services	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-73ed-87c3-91ef62e3647c	Education and Child Care	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7c3c-bd52-185cd0a69c69	Emergency Management and Climate Readiness	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7e85-9a05-1b466815fafb	Energy and Climate Solutions	019be1ef-d916-726f-ae70-e1e6e37055b2	2024/11/18			bsparks
019b2cf6-2e87-7e85-9a05-1b466815fafb	Energy, Mines and Low Carbon Innovation	019be1ef-d916-726f-ae70-e1e6e37055b2		2024/11/17		bsparks
019b2cf6-2e87-7130-b323-1e409183772c	Environment and Climate Change Strategy	019be1ef-d916-726f-ae70-e1e6e37055b2		2024/11/17		bsparks
019b2cf6-2e87-7130-b323-1e409183772c	Environment and Parks	019be1ef-d916-726f-ae70-e1e6e37055b2	2024/11/18			bsparks
019b2cf6-2e87-7475-af6e-0d01e0583eeb	Finance	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-748e-a2e7-c1d99ca76c3f	Forests	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7131-bee9-df432312fb7d	Health	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7e3c-86e0-8d046c71d789	Housing	019be1ef-d916-726f-ae70-e1e6e37055b2		2024/11/17		bsparks
019b2cf6-2e87-7e3c-86e0-8d046c71d789	Housing and Municipal Affairs	019be1ef-d916-726f-ae70-e1e6e37055b2	2024/11/18			bsparks
019b2cf6-2e87-705b-bfd1-d5a06ec50be5	Indigenous Relations and Reconciliation	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7d1f-8181-cb2be70a02fe	Infrastructure	019be1ef-d916-726f-ae70-e1e6e37055b2	2024/11/18			bsparks
019b2cf6-2e87-77ee-8eb2-99f9407ef13a	Jobs and Economic Growth	019be1ef-d916-726f-ae70-e1e6e37055b2	2024/07/17			bsparks
019b2cf6-2e87-77ee-8eb2-99f9407ef13a	Jobs, Economic Development and Innovation	019be1ef-d916-726f-ae70-e1e6e37055b2		2024/07/16		bsparks
019b2cf6-2e87-7c68-8336-738d852705f4	Labour	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7932-9130-bf7002573744	Mental Health and Addictions	019be1ef-d916-726f-ae70-e1e6e37055b2		2024/11/17		bsparks
019b2cf6-2e87-7b6f-b662-f613158255a2	Mining and Critical Minerals	019be1ef-d916-726f-ae70-e1e6e37055b2	2024/11/18			bsparks
019b2cf6-2e87-78f4-abeb-abd2876abc49	Municipal Affairs  	019be1ef-d916-726f-ae70-e1e6e37055b2		2024/11/17		bsparks
019b2cf6-2e87-7db4-9ca2-3ebf4fa34678	Post-Secondary Education and Future Skills	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7d8d-bc60-a3b0794f0e93	Public Safety and Solicitor General	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7571-a9b3-ff80b0c007c1	Social Development and Poverty Reduction	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-7726-a84e-b8cb7bc6f0bc	Tourism, Arts, Culture and Sport	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019b2cf6-2e87-79b9-9597-b81453687726	Transportation and Infrastructure	019be1ef-d916-726f-ae70-e1e6e37055b2		2024/11/17		bsparks
019b2cf6-2e87-79b9-9597-b81453687726	Transportation and Transit	019be1ef-d916-726f-ae70-e1e6e37055b2	2024/11/18			bsparks
019b2cf6-2e87-7b17-acca-27d95d384cf9	Water, Land and Resource Stewardship	019be1ef-d916-726f-ae70-e1e6e37055b2				bsparks
019be1ec-a678-70ff-807c-f49bdd001a46	BC Public Service Agency	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-78a9-98fa-d2ddb4a4c3ef	Compliance & Enforcement Collaborative	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-7c25-b7f1-29b60ca9427b	Connected Services BC	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e	10/1/2025			bsparks
019be1ec-a678-7afa-a2f9-cda4ac5b95e5	Corporate Information and Records Management Office	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-78e5-ae7c-16ae5f917bc1	Crown Agencies Secretariat	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-7d99-af7a-9803682565f2	Government Chief Risk Office	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-7a1d-9dbe-b71e3bfc4180	Government Communications and Public Engagement	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-79d9-8ed0-e9382bd07029	Government Security Office	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-720a-a81f-4590b3a8a6c8	Intergovernmental Relations Secretariat	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-7a6f-a5f1-f430e9a72b11	Office of the Comptroller General	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-757f-93ce-01a84efab298	Office of the Premier	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-7be9-9922-4d04edecea3b	Provincial Treasury	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-73d3-be23-653e0313b65c	Public Sector Employers' Council Secretariat	019be1f1-4a18-7a6b-92f3-37ea73d2dd5e				bsparks
019be1ec-a678-7fce-85e6-1f382140d85f	BC Assessment	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7c6b-929e-3c417f20ae8c	BC Council for International Education	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7fa9-bb48-c44fdf9d0057	BC Energy Regulator	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7820-9ef0-de5cfc8456b3	BC Family Maintenance Agency	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7600-bc83-e076ef09abe9	BC Financial Services Authority	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7d06-8de4-a6f1d40fcc9c	BC Games Society	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7d89-a2d5-c6234f0d7ba6	BC Housing	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7831-b16b-913a9ea42e07	BC Hydro and Power Authority	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-75bf-913c-8c90f3d6c7eb	BC Infrastructure Benefits	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7a24-9aa7-fc8d6df9e6b8	BC Pavilion Corporation	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-79e7-931c-4c4411b57c82	BC Transit	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-78b6-bcaf-9f285367ce27	British Columbia Lottery Corporation	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-71b6-a317-48ce5f87e810	British Columbia Securities Commission	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-79af-a3a6-ccdfc5790c9b	Columbia Basin Trust	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7ddb-918f-7d5f66413bd3	Columbia Power Corporation	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-73b7-8ca6-6ec6e6e55cb8	Community Living BC	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-76ee-b0e6-7b1e3c57c5cb	Destination BC	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-78f8-82e3-42447d21338b	First Peoples' Cultural Council	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7fa4-8b4d-cf44f7c70cc1	Forest Enhancement Society of BC	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-738c-8c2d-0448ffadff4f	Forestry Innovation Investment	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7fec-a4a4-cf5fbc6e12d8	InBC Investment Corp	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-721e-89de-8ca6ed588a48	Infrastructure BC	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7a47-ad8f-50d5691a1fd0	Innovate BC	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-76a1-85e5-6c0266243482	Insurance Corporation of British Columbia	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-78c1-b93a-5093a1094232	Knowledge Network	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7136-821f-1819a0df175c	Legal Aid BC	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7b87-bf80-b6e731d0208e	Royal BC Museum	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-76c8-80c7-2166ed2ec9ac	SkilledTradesBC	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-75b2-a74c-bb47b7d529c5	Transportation Investment Corporation	019be1f2-af90-7b1e-a17a-4ef9fabbd4f0				bsparks
019be1ec-a678-7722-864d-fdd5250cc8a5	Agricultural Land Commission	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-753f-9560-152a3fb43514	BC Farm Industry Review Board	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-7de0-ae73-010a1d94484b	BC Human Rights Tribunal	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-79fc-8389-192019096451	British Columbia Review Board	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-7fce-9776-b7c3bc783c1d	British Columbia Utilities Commission	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-7544-b976-1843f2b6e015	Building Code Appeal Board	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-728c-a295-b1907d0540dc	Civil Resolution Tribunal	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-7f12-8a46-2e6008a86d27	Community Care and Assisted Living Appeal Board	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-7cd9-aba3-2e9a7e6ca640	Disciplinary and Professional Conduct Board	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-74be-8611-b2efeb783a70	Employment and Assistance Appeal Tribunal	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-7c5f-aea3-5869db453de2	Employment Standards Tribunal	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
019be1ec-a678-7b9b-b594-db202692d920	Energy Resource Appeal Tribunal	019be200-9a20-78bb-8e0d-d122a10a8e42				bsparks
